sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-50,1,297,8,0
1,-50,1,47,5,0
2,-49,1,252,10,0
3,-48,1,40,3,0
4,-47,1,10,6,0
5,-47,1,7,8,0
6,-47,1,9,6,0
7,-47,1,44,8,0
8,-46,1,37,10,0
9,-46,1,139,4,0
10,-46,1,152,7,0
11,-46,1,9,10,0
12,-46,1,0,8,0
13,-45,1,98,3,0
14,-45,1,112,5,0
15,-45,1,38,5,0
16,-44,1,99,10,0
17,-43,1,16,10,0
18,-43,1,112,4,0
19,-43,1,101,7,0
20,-42,1,446,10,0
21,-42,1,27,5,0
22,-42,1,39,6,0
23,-42,1,4,10,0
24,-42,1,14,12,0
25,-42,1,5,8,0
26,-42,1,153,12,0
27,-41,1,41,8,0
28,-40,1,193,9,0
29,-40,1,179,8,0
30,-40,1,36,2,0
31,-40,1,109,10,0
32,-40,1,5,4,0
33,-40,1,39,2,0
34,-40,1,21,10,0
35,-40,1,142,4,0
36,-40,1,16,8,0
37,-40,1,8,8,0
38,-40,1,28,6,0
39,-40,1,135,8,0
40,-40,1,20,6,0
41,-39,1,47,9,0
42,-39,1,12,6,0
43,-39,1,20,8,0
44,-39,1,41,7,0
45,-39,1,0,4,0
46,-39,1,81,5,0
47,-39,1,167,9,0
48,-39,1,150,4,0
49,-39,1,30,7,0
50,-39,1,40,2,0
51,-39,1,87,12,0
52,-38,1,149,6,0
53,-37,1,0,2,0
54,-37,1,20,4,0
55,-37,1,1,10,0
56,-37,1,8,10,0
57,-37,1,73,4,0
58,-36,1,11,8,0
59,-35,1,14,6,0
60,-35,1,481,10,0
61,-35,1,4,5,0
62,-35,1,141,4,0
63,-35,1,43,9,0
64,-35,1,473,4,0
65,-35,1,13,7,0
66,-34,1,19,6,0
67,-34,1,100,7,0
68,-34,1,497,12,0
69,-34,1,31,10,0
70,-33,1,190,8,0
71,-33,1,127,5,0
72,-33,1,8,4,0
73,-33,1,13,2,0
74,-33,1,42,4,0
75,-33,1,35,11,0
76,-33,1,327,2,0
77,-33,1,27,7,0
78,-32,1,2,6,0
79,-31,1,7,10,0
80,-31,1,21,6,0
81,-30,1,20,6,0
82,-29,1,35,8,0
83,-29,1,4,2,0
84,-29,1,45,8,0
85,-29,1,9,3,0
86,-28,1,39,8,0
87,-28,1,120,8,0
88,-28,1,3,5,0
89,-28,1,19,5,0
90,-28,1,5,6,0
91,-28,1,69,6,0
92,-28,1,40,10,0
93,-27,1,12,5,0
94,-26,1,45,8,0
95,-26,1,3,4,0
96,-26,1,32,11,0
97,-26,1,172,9,0
98,-26,1,4,3,0
99,-26,1,46,9,0
100,-26,1,57,11,0
101,-26,1,39,6,0
102,-26,1,122,11,0
103,-25,1,32,7,0
104,-25,1,92,2,0
105,-24,1,5,7,0
106,-23,1,2,10,0
107,-23,1,23,12,0
108,-22,1,34,10,0
109,-22,1,61,4,0
110,-22,1,16,7,0
111,-21,1,57,4,0
112,-21,1,102,6,0
113,-20,1,46,8,0
114,-20,1,165,10,0
115,-20,1,51,4,0
116,-20,1,1,2,0
117,-19,1,18,4,0
118,-18,1,90,2,0
119,-17,1,32,4,0
120,-17,1,184,6,0
121,-16,1,11,6,0
122,-15,1,5,2,0
123,-14,1,13,8,0
124,-14,1,57,7,0
125,-14,1,28,5,0
126,-14,1,89,7,0
127,-14,1,217,6,0
128,-14,1,477,6,0
129,-14,1,11,6,0
130,-14,1,156,8,0
131,-13,1,119,5,0
132,-13,1,14,9,0
133,-13,1,5,6,0
134,-13,1,18,5,0
135,-12,1,60,11,0
136,-11,1,8,12,0
137,-10,1,0,10,0
138,-10,1,128,11,0
139,-10,1,149,10,0
140,-10,1,24,5,0
141,-10,1,97,2,0
142,-9,1,141,4,0
143,-9,1,0,11,0
144,-8,1,6,8,0
145,-7,1,86,2,0
146,-6,1,4,4,0
147,-6,1,23,6,0
148,-6,1,9,8,0
149,-6,1,419,11,0
150,-6,1,111,7,0
151,-6,1,2,3,0
152,-6,1,175,10,0
153,-6,1,46,8,0
154,-6,1,14,7,0
155,-6,1,192,5,0
156,-6,1,325,6,0
157,-6,1,7,12,0
158,-6,1,1,11,0
159,-6,1,164,10,0
160,-6,1,71,6,0
161,-6,1,404,1,0
162,-6,1,73,10,0
163,-5,1,445,7,0
164,-5,1,60,4,0
165,-5,1,34,4,0
166,-5,1,25,6,0
167,-4,1,18,4,0
168,-3,1,5,8,0
169,-3,1,252,8,0
170,-2,1,22,8,0
171,-1,1,29,4,0
172,-1,1,39,10,0
173,-1,1,172,10,0
