pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,265,0,0,0,30,30,99999,0,0,0,0.468,14.04,0.6,0.6
0,0,1,0,488,0,0,0,48,48,99999,0,0,1,0.092,4.416,0.6,0.6
0,0,2,0,40,0,0,0,24,24,99999,0,0,2,2.218,53.232,0.4,0.4
0,0,3,0,20,0,0,0,216,216,99999,0,0,3,0.386,83.376,0.4,0.4
0,0,4,0,467,0,0,0,336,336,99999,0,0,4,0.246,82.656,0.6,0.6
0,0,5,0,16,0,0,0,12,12,99999,0,0,5,0.301,3.612,0.4,0.4
0,0,6,0,89,0,0,0,60,60,99999,0,0,6,0.142,8.52,0.5,0.5
0,0,7,0,196,0,0,0,27,27,99999,0,0,7,2.5,67.5,0.5,0.5
0,0,8,0,329,0,0,0,40,40,99999,0,0,8,0.31,12.4,0.6,0.6
0,0,9,0,31,0,0,0,72,72,99999,0,0,9,0.125,9.0,0.4,0.4
1,0,0,0,49,0,0,0,240,240,99999,0,0,10,0.408,97.92,0.4,0.4
1,0,1,0,243,0,0,0,36,36,99999,0,0,11,0.517,18.612,0.6,0.6
1,0,2,0,391,0,0,0,5,5,99999,0,0,12,7.23,36.15,0.6,0.6
1,0,3,0,461,0,0,0,60,60,99999,0,0,13,0.322,19.32,0.6,0.6
1,0,4,0,39,0,0,0,360,360,99999,0,0,14,0.276,99.36,0.4,0.4
1,0,5,0,489,0,0,0,30,30,99999,0,0,15,0.533,15.99,0.6,0.6
1,0,6,0,372,0,0,0,36,36,99999,0,0,16,0.229,8.244,0.6,0.6
1,0,7,0,26,0,0,0,360,360,99999,0,0,17,0.274,98.64,0.4,0.4
1,0,8,0,268,0,0,0,18,18,99999,0,0,18,0.238,4.284,0.6,0.6
1,0,9,0,357,0,0,0,6,6,99999,0,0,19,2.165,12.99,0.6,0.6
2,0,0,0,171,0,0,0,24,24,99999,0,0,20,0.4,9.6,0.5,0.5
2,0,1,0,370,0,0,0,240,240,99999,0,0,21,0.415,99.6,0.6,0.6
2,0,2,0,151,0,0,0,96,96,99999,0,0,22,0.667,64.032,0.5,0.5
2,0,3,0,342,0,0,0,72,72,99999,0,0,23,0.65,46.8,0.6,0.6
2,0,4,0,27,0,0,0,336,336,99999,0,0,24,0.267,89.712,0.4,0.4
2,0,5,0,111,0,0,0,27,27,99999,0,0,25,3.0,81.0,0.5,0.5
2,0,6,0,287,0,0,0,31,31,99999,0,0,26,1.0,31.0,0.6,0.6
2,0,7,0,472,0,0,0,77,77,99999,0,0,27,0.2,15.4,0.6,0.6
2,0,8,0,179,0,0,0,24,24,99999,0,0,28,0.324,7.776,0.5,0.5
2,0,9,0,177,0,0,0,80,80,99999,0,0,29,1.08,86.4,0.5,0.5
3,0,0,0,185,0,0,0,120,120,99999,0,0,30,0.532,63.84,0.5,0.5
3,0,1,0,60,0,0,0,36,36,99999,0,0,31,0.263,9.468,0.5,0.5
3,0,2,0,197,0,0,0,432,432,99999,0,0,32,0.164,70.848,0.5,0.5
3,0,3,0,456,0,0,0,8,8,99999,0,0,33,1.0,8.0,0.6,0.6
3,0,4,0,152,0,0,0,12,12,99999,0,0,34,0.708,8.496,0.5,0.5
3,0,5,0,131,0,0,0,54,54,99999,0,0,35,0.287,15.498,0.5,0.5
3,0,6,0,44,0,0,0,120,120,99999,0,0,36,0.62,74.4,0.4,0.4
3,0,7,0,266,0,0,0,40,40,99999,0,0,37,0.16,6.4,0.6,0.6
3,0,8,0,24,0,0,0,20,20,99999,0,0,38,0.441,8.82,0.4,0.4
3,0,9,0,25,0,0,0,30,30,99999,0,0,39,0.454,13.62,0.4,0.4
4,0,0,0,117,0,0,0,336,336,99999,0,0,40,0.244,81.984,0.5,0.5
4,0,1,0,306,0,0,0,36,36,99999,0,0,41,0.308,11.088,0.6,0.6
4,0,2,0,32,0,0,0,96,96,99999,0,0,42,0.125,12.0,0.4,0.4
4,0,3,0,400,0,0,0,36,36,99999,0,0,43,1.037,37.332,0.6,0.6
4,0,4,0,252,0,0,0,36,36,99999,0,0,44,0.394,14.184,0.6,0.6
4,0,5,0,142,0,0,0,384,384,99999,0,0,45,0.274,105.216,0.5,0.5
4,0,6,0,144,0,0,0,360,360,99999,0,0,46,0.275,99.0,0.5,0.5
4,0,7,0,8,0,0,0,40,40,99999,0,0,47,0.381,15.24,0.4,0.4
4,0,8,0,33,0,0,0,240,240,99999,0,0,48,0.409,98.16,0.4,0.4
4,0,9,0,38,0,0,0,384,384,99999,0,0,49,0.275,105.6,0.4,0.4
5,0,0,0,372,0,0,0,36,36,99999,0,0,50,0.229,8.244,0.6,0.6
5,0,1,0,42,0,0,0,30,30,99999,0,0,51,0.454,13.62,0.4,0.4
5,0,2,0,465,0,0,0,15,15,99999,0,0,52,0.582,8.73,0.6,0.6
5,0,3,0,41,0,0,0,80,80,99999,0,0,53,0.152,12.16,0.4,0.4
5,0,4,0,17,0,0,0,108,108,99999,0,0,54,0.176,19.008,0.4,0.4
5,0,5,0,39,0,0,0,360,360,99999,0,0,55,0.276,99.36,0.4,0.4
5,0,6,0,354,0,0,0,7,7,99999,0,0,56,0.82,5.74,0.6,0.6
5,0,7,0,16,0,0,0,12,12,99999,0,0,57,0.301,3.612,0.4,0.4
5,0,8,0,471,0,0,0,96,96,99999,0,0,58,0.52,49.92,0.6,0.6
5,0,9,0,189,0,0,0,36,36,99999,0,0,59,0.342,12.312,0.5,0.5
6,0,0,0,411,0,0,0,192,192,99999,0,0,60,0.368,70.656,0.6,0.6
6,0,1,0,156,0,0,0,81,81,99999,0,0,61,0.2,16.2,0.5,0.5
6,0,2,0,16,0,0,0,12,12,99999,0,0,62,0.301,3.612,0.4,0.4
6,0,3,0,32,0,0,0,96,96,99999,0,0,63,0.125,12.0,0.4,0.4
6,0,4,0,62,0,0,0,60,60,99999,0,0,64,0.15,9.0,0.5,0.5
6,0,5,0,439,0,0,0,12,12,99999,0,0,65,2.803,33.636,0.6,0.6
6,0,6,0,102,0,0,0,24,24,99999,0,0,66,0.479,11.496,0.5,0.5
6,0,7,0,82,0,0,0,168,168,99999,0,0,67,0.446,74.928,0.5,0.5
6,0,8,0,5,0,0,0,192,192,99999,0,0,68,0.417,80.064,0.4,0.4
6,0,9,0,65,0,0,0,24,24,99999,0,0,69,0.49,11.76,0.5,0.5
7,0,0,0,197,0,0,0,432,432,99999,0,0,70,0.164,70.848,0.5,0.5
7,0,1,0,20,0,0,0,216,216,99999,0,0,71,0.386,83.376,0.4,0.4
7,0,2,0,487,0,0,0,48,48,99999,0,0,72,0.24,11.52,0.6,0.6
7,0,3,0,178,0,0,0,96,96,99999,0,0,73,0.732,70.272,0.5,0.5
7,0,4,0,425,0,0,0,180,180,99999,0,0,74,0.11,19.8,0.6,0.6
7,0,5,0,265,0,0,0,30,30,99999,0,0,75,0.468,14.04,0.6,0.6
7,0,6,0,103,0,0,0,168,168,99999,0,0,76,0.125,21.0,0.5,0.5
7,0,7,0,110,0,0,0,280,280,99999,0,0,77,0.075,21.0,0.5,0.5
7,0,8,0,474,0,0,0,48,48,99999,0,0,78,0.299,14.352,0.6,0.6
7,0,9,0,58,0,0,0,264,264,99999,0,0,79,0.276,72.864,0.5,0.5
8,0,0,0,29,0,0,0,360,360,99999,0,0,80,0.274,98.64,0.4,0.4
8,0,1,0,398,0,0,0,204,204,99999,0,0,81,0.333,67.932,0.6,0.6
8,0,2,0,391,0,0,0,5,5,99999,0,0,82,7.23,36.15,0.6,0.6
8,0,3,0,383,0,0,0,9,9,99999,0,0,83,0.517,4.653,0.6,0.6
8,0,4,0,191,0,0,0,264,264,99999,0,0,84,0.283,74.712,0.5,0.5
8,0,5,0,38,0,0,0,384,384,99999,0,0,85,0.275,105.6,0.4,0.4
8,0,6,0,187,0,0,0,12,12,99999,0,0,86,0.463,5.556,0.5,0.5
8,0,7,0,32,0,0,0,96,96,99999,0,0,87,0.125,12.0,0.4,0.4
8,0,8,0,50,0,0,0,27,27,99999,0,0,88,3.0,81.0,0.5,0.5
8,0,9,0,37,0,0,0,384,384,99999,0,0,89,0.277,106.368,0.4,0.4
9,0,0,0,193,0,0,0,320,320,99999,0,0,90,0.05,16.0,0.5,0.5
9,0,1,0,60,0,0,0,36,36,99999,0,0,91,0.263,9.468,0.5,0.5
9,0,2,0,221,0,0,0,20,20,99999,0,0,92,1.0,20.0,0.6,0.6
9,0,3,0,100,0,0,0,36,36,99999,0,0,93,0.345,12.42,0.5,0.5
9,0,4,0,74,0,0,0,288,288,99999,0,0,94,0.291,83.808,0.5,0.5
9,0,5,0,286,0,0,0,264,264,99999,0,0,95,0.273,72.072,0.6,0.6
9,0,6,0,31,0,0,0,72,72,99999,0,0,96,0.125,9.0,0.4,0.4
9,0,7,0,190,0,0,0,8,8,99999,0,0,97,0.565,4.52,0.5,0.5
9,0,8,0,351,0,0,0,192,192,99999,0,0,98,0.368,70.656,0.6,0.6
9,0,9,0,26,0,0,0,360,360,99999,0,0,99,0.274,98.64,0.4,0.4
10,0,0,0,162,0,0,0,24,24,99999,0,0,100,0.698,16.752,0.5,0.5
10,0,1,0,153,0,0,0,42,42,99999,0,0,101,0.43,18.06,0.5,0.5
10,0,2,0,310,0,0,0,28,28,99999,0,0,102,2.35,65.8,0.6,0.6
10,0,3,0,481,0,0,0,210,210,99999,0,0,103,0.104,21.84,0.6,0.6
10,0,4,0,43,0,0,0,240,240,99999,0,0,104,0.3,72.0,0.4,0.4
10,0,5,0,429,0,0,0,72,72,99999,0,0,105,1.008,72.576,0.6,0.6
10,0,6,0,36,0,0,0,12,12,99999,0,0,106,3.463,41.556,0.4,0.4
10,0,7,0,195,0,0,0,30,30,99999,0,0,107,0.589,17.67,0.5,0.5
10,0,8,0,105,0,0,0,12,12,99999,0,0,108,0.291,3.492,0.5,0.5
10,0,9,0,309,0,0,0,50,50,99999,0,0,109,0.275,13.75,0.6,0.6
11,0,0,0,437,0,0,0,32,32,99999,0,0,110,2.209,70.688,0.6,0.6
11,0,1,0,355,0,0,0,36,36,99999,0,0,111,0.383,13.788,0.6,0.6
11,0,2,0,360,0,0,0,140,140,99999,0,0,112,0.268,37.52,0.6,0.6
11,0,3,0,332,0,0,0,72,72,99999,0,0,113,0.233,16.776,0.6,0.6
11,0,4,0,16,0,0,0,12,12,99999,0,0,114,0.301,3.612,0.4,0.4
11,0,5,0,4,0,0,0,6,6,99999,0,0,115,0.425,2.55,0.4,0.4
11,0,6,0,215,0,0,0,264,264,99999,0,0,116,0.3,79.2,0.6,0.6
11,0,7,0,491,0,0,0,312,312,99999,0,0,117,0.329,102.648,0.6,0.6
11,0,8,0,132,0,0,0,264,264,99999,0,0,118,0.3,79.2,0.5,0.5
11,0,9,0,92,0,0,0,30,30,99999,0,0,119,0.348,10.44,0.5,0.5
12,0,0,0,22,0,0,0,72,72,99999,0,0,120,0.125,9.0,0.4,0.4
12,0,1,0,148,0,0,0,360,360,99999,0,0,121,0.275,99.0,0.5,0.5
12,0,2,0,8,0,0,0,40,40,99999,0,0,122,0.381,15.24,0.4,0.4
12,0,3,0,314,0,0,0,77,77,99999,0,0,123,1.0,77.0,0.6,0.6
12,0,4,0,164,0,0,0,384,384,99999,0,0,124,0.277,106.368,0.5,0.5
12,0,5,0,19,0,0,0,12,12,99999,0,0,125,0.28,3.36,0.4,0.4
12,0,6,0,273,0,0,0,210,210,99999,0,0,126,0.098,20.58,0.6,0.6
12,0,7,0,40,0,0,0,24,24,99999,0,0,127,2.218,53.232,0.4,0.4
12,0,8,0,456,0,0,0,8,8,99999,0,0,128,1.0,8.0,0.6,0.6
12,0,9,0,272,0,0,0,168,168,99999,0,0,129,0.454,76.272,0.6,0.6
13,0,0,0,377,0,0,0,40,40,99999,0,0,130,0.369,14.76,0.6,0.6
13,0,1,0,25,0,0,0,30,30,99999,0,0,131,0.454,13.62,0.4,0.4
13,0,2,0,16,0,0,0,12,12,99999,0,0,132,0.301,3.612,0.4,0.4
13,0,3,0,130,0,0,0,24,24,99999,0,0,133,0.615,14.76,0.5,0.5
13,0,4,0,40,0,0,0,24,24,99999,0,0,134,2.218,53.232,0.4,0.4
13,0,5,0,3,0,0,0,312,312,99999,0,0,135,0.324,101.088,0.4,0.4
13,0,6,0,162,0,0,0,24,24,99999,0,0,136,0.698,16.752,0.5,0.5
13,0,7,0,115,0,0,0,192,192,99999,0,0,137,0.389,74.688,0.5,0.5
13,0,8,0,265,0,0,0,30,30,99999,0,0,138,0.468,14.04,0.6,0.6
13,0,9,0,8,0,0,0,40,40,99999,0,0,139,0.381,15.24,0.4,0.4
14,0,0,0,296,0,0,0,20,20,99999,0,0,140,0.435,8.7,0.6,0.6
14,0,1,0,241,0,0,0,6,6,99999,0,0,141,0.46,2.76,0.6,0.6
