order_id,order_arrival,process_start_time,order_complete_time,station_id
-36,0,1,43,picker-2
-16,0,1,43,picker-2
-16,0,1,43,picker-2
-37,0,1,253,picker-0
-50,0,1,327,picker-2
-49,0,1,347,picker-2
-47,0,1,430,picker-2
-48,0,1,450,picker-2
-46,0,1,467,picker-0
-39,0,1,467,picker-0
-35,0,1,467,picker-0
-10,0,1,495,picker-0
-9,0,1,495,picker-0
-40,0,1,505,picker-1
-28,0,1,505,picker-1
-44,0,44,510,picker-2
-45,0,44,539,picker-2
-34,0,1,549,picker-1
-43,0,254,562,picker-0
-31,0,468,610,picker-0
-30,0,468,633,picker-0
-33,0,1,638,picker-1
-6,0,1,683,picker-1
-41,0,348,695,picker-2
-1,0,1,705,picker-1
-42,0,328,717,picker-2
-27,0,496,722,picker-0
-38,0,431,740,picker-2
-25,0,506,750,picker-1
-32,0,451,762,picker-2
-24,0,506,772,picker-1
-32,0,451,790,picker-2
-23,0,511,812,picker-2
-21,0,550,817,picker-1
-29,0,468,839,picker-0
-25,0,506,847,picker-1
-29,0,468,868,picker-0
-17,0,639,870,picker-1
-22,0,540,879,picker-2
-15,0,684,898,picker-1
-24,0,506,898,picker-1
-26,0,496,957,picker-0
-24,0,506,962,picker-1
-15,0,684,962,picker-1
-26,0,496,985,picker-0
